14:01:49.467 257 zb_mac_transport_linux_pipes.c:249	<<zb_mac_start_recv ret 0
14:01:49.467 257 zb_mac_transport_linux_pipes.c:265	>>read_from_pipe
14:01:49.467 257 zb_mac_transport_linux_pipes.c:79	read: len 1 total 2
14:01:49.467 257 zb_mac_transport_linux_pipes.c:93	1D 
14:01:49.467 257 zb_mac_transport_linux_pipes.c:79	read: len 28 total 29
14:01:49.467 257 zb_mac_transport_linux_pipes.c:86	00 80 3A 39 1B 00 00 FF CF 00 00 00 21 84 00 01 
14:01:49.467 257 zb_mac_transport_linux_pipes.c:93	02 03 04 05 06 07 FF FF FF 00 A7 55 
14:01:49.467 257 zb_mac_transport_linux_pipes.c:333	receive full buffer 4 len 29
14:01:49.467 257 zb_mac_transport_linux_pipes.c:356	<<read_from_pipe 29
14:01:49.467 257 mac.c:372	>>mac_parse_recv_dt
14:01:49.467 257 zb_mac_transport_linux_pipes.c:149	>>zb_mac_traffic_dump #4 buf 0x5587c8fdbd50 / 4 in_b 1 (size 38) is_w 0
14:01:49.467 257 zb_mac_transport_linux_pipes.c:182	t: start 1553770905; t 1553770909 467592, time 291
14:01:49.467 257 zb_mac_transport_linux_pipes.c:192	<<zb_mac_traffic_dump
14:01:49.467 257 mac_common.c:79	>>zb_parse_mhr mhr 0x7fffec5af170, ptr 0x5587c8fdbd94
14:01:49.467 257 mac_common.c:89	dst addr mode: 0
14:01:49.467 257 mac_common.c:108	src addr mode: 2
14:01:49.467 257 mac_common.c:173	<< zb_parse_mhr, ret val 7
14:01:49.467 257 mac.c:390	frame_control 0:80, seq_number 58, dst_pan_id 0x0, src_pan_id 0x1b39 dst mode 0 addr 0.0.0.0.0.0.0.0 src mode 2 addr 0.0.0.0.0.0.0.0
14:01:49.467 257 mac.c:395	set mac rx , frm 0 len 37
14:01:49.467 257 mac.c:239	<<can_accept_fr, ret 1
14:01:49.467 257 mac.c:437	BEACON frame
14:01:49.467 257 zb_scheduler.c:254	0x5587c8fdb570 scheduled cb 0x5587c8db893c param 4 (in_b 1)
14:01:49.467 257 mac.c:471	beacon found!
14:01:49.467 257 mac.c:498	<<mac_parse_recv_data 0
14:01:49.467 257 mac.c:205	<<zb_mac_recv_data
14:01:49.467 257 zb_scheduler.c:105	cb_q written 1, read_i 5, write_i 6
14:01:49.467 257 zb_scheduler.c:115	0x5587c8fdb570 calling cb 0x5587c8db893c param 4 in_b 1 len 37
14:01:49.467 257 nwk_discovery.c:151	>>zb_mlme_beacon_notify_indication 4
14:01:49.467 257 mac_common.c:79	>>zb_parse_mhr mhr 0x7fffec5af1e0, ptr 0x5587c8fdbd94
14:01:49.467 257 mac_common.c:89	dst addr mode: 0
14:01:49.467 257 mac_common.c:108	src addr mode: 2
14:01:49.467 257 mac_common.c:173	<< zb_parse_mhr, ret val 7
14:01:49.468 257 nwk_discovery.c:184	beacon payload 0x5587c8fdbd9f: protocol id 0, version 2, stack profile 1
14:01:49.468 257 zb_address.c:95	>>zb_address_add_pan_id short_pan_id 6969 pan_id 7.6.5.4.3.2.1.0 ref 0x7fffec5af1d4
14:01:49.468 257 zb_address.c:98	start search pan_id reference from h_i 1
14:01:49.468 257 zb_address.c:106	pan_id reference found 0
14:01:49.468 257 zb_address.c:148	<<zb_address_add_pan_id -27
14:01:49.468 257 nwk_neighbor.c:373	>>exnb_by_short pan 0, addr 0, enbt 0x7fffec5af1d8
14:01:49.468 257 nwk_neighbor.c:382	found ent # 0
14:01:49.468 257 nwk_neighbor.c:390	<<exnb_by_short 0
14:01:49.468 257 nwk_discovery.c:258	ch 12
14:01:49.468 257 nwk_discovery.c:343	zb_free_buf: zb_mlme_beacon_notify_indication
14:01:49.468 257 zb_bufpool.c:234	=================
14:01:49.468 257 zb_bufpool.c:235	FREE BUF 0x5587c8fdbd50 
14:01:49.468 257 zb_bufpool.c:236	ref 4
14:01:49.468 257 zb_bufpool.c:237	allocated 0: 3
14:01:49.468 257 zb_bufpool.c:238	allocated 1: 1
14:01:49.468 257 zb_bufpool.c:239	=================
14:01:49.468 257 zb_bufpool.c:268	free_buf: 1/3 buf 0x5587c8fdbd50, next 0x5587c8fdbdf0, head 0x5587c8fdbd50
14:01:49.468 257 nwk_discovery.c:348	<<zb_mlme_beacon_notify_indication
14:01:49.468 257 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
14:01:49.468 257 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
14:01:49.468 257 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
14:01:49.468 257 zb_mac_transport_linux_pipes.c:507	timer started = 1
14:01:49.468 257 zb_mac_transport_linux_pipes.c:524	default timeout 1
14:01:49.468 257 zb_mac_transport_linux_pipes.c:529	select() timeout 1.0
14:01:50.469 257 zb_mac_transport_linux_pipes.c:548	delta 1002 (65)
14:01:50.469 322 zb_mac_transport_linux_pipes.c:569	timer 322, delta_rest 0
14:01:50.469 322 zb_mac_transport_linux_pipes.c:590	timeout
14:01:50.469 322 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
14:01:50.469 322 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
14:01:50.469 322 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
14:01:50.469 322 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
14:01:50.469 322 zb_mac_transport_linux_pipes.c:507	timer started = 1
14:01:50.469 322 zb_mac_transport_linux_pipes.c:513	timer stop 514 timer 322  tmo 192
14:01:50.469 322 zb_mac_transport_linux_pipes.c:529	select() timeout 2.937000
14:01:53.408 322 zb_mac_transport_linux_pipes.c:548	delta 2939 (192)
14:01:53.408 514 zb_mac_transport_linux_pipes.c:569	timer 514, delta_rest 0
14:01:53.408 514 zb_mac_transport_linux_pipes.c:590	timeout
14:01:53.408 514 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
14:01:53.408 514 zb_scheduler.c:145	0x5587c8fdb848 calling alarm cb 0x5587c8dce25c param 0
14:01:53.408 514 mac_scan.c:208	>> zb_mlme_scan_step
14:01:53.408 514 mac_scan.c:312	beacon found 1
14:01:53.408 514 zb_scheduler.c:254	0x5587c8fdb580 scheduled cb 0x5587c8db8f1c param 3 (in_b 0)
14:01:53.408 514 mac_scan.c:338	<< zb_mlme_scan_step
14:01:53.408 514 zb_time.c:99	stop async timer, started = 0
14:01:53.408 514 zb_scheduler.c:105	cb_q written 1, read_i 6, write_i 7
14:01:53.408 514 zb_scheduler.c:115	0x5587c8fdb580 calling cb 0x5587c8db8f1c param 3 in_b 0 len 0
14:01:53.408 514 nwk_discovery.c:354	>>zb_mlme_scan_confirm 3
14:01:53.408 514 nwk_discovery.c:356	nwk state 1
14:01:53.408 514 nwk_discovery.c:372	disc_count 0
14:01:53.408 514 zb_address.c:155	>>zb_address_get_pan_id pan_id_reference 0 pan_id 0x5587c8fdbcd3
14:01:53.408 514 zb_address.c:161	<<zb_address_get_pan_id
14:01:53.408 514 zb_address.c:213	>>zb_address_cmp_pan_id_by_ref pan_id_reference 0 pan_id 0x5587c8fdbcd3
14:01:53.408 514 zb_address.c:219	<<zb_address_cmp_pan_id_by_ref 1
14:01:53.408 514 zb_scheduler.c:254	0x5587c8fdb590 scheduled cb 0x5587c8dc3222 param 3 (in_b 0)
14:01:53.408 514 nwk_discovery.c:495	<<zb_mlme_scan_confirm
14:01:53.408 514 zb_scheduler.c:105	cb_q written 1, read_i 7, write_i 8
14:01:53.408 514 zb_scheduler.c:115	0x5587c8fdb590 calling cb 0x5587c8dc3222 param 3 in_b 0 len 98
14:01:53.408 514 zdo_app.c:319	disc st 0
14:01:53.408 514 zdo_app.c:324	Disc res: st 0, nw_cnt 1
14:01:53.408 514 zdo_app.c:335	net 0: xpanid 7.6.5.4.3.2.1.0, ch 12, s.prof 1, zb v 2, beacon_ord 7, superf_ord 15, permit_j 1, rtr_cap 1, ed_cap 1
14:01:53.408 514 zb_scheduler.c:254	0x5587c8fdb5a0 scheduled cb 0x5587c8dbb5ef param 3 (in_b 0)
14:01:53.408 514 zb_scheduler.c:105	cb_q written 1, read_i 8, write_i 9
14:01:53.408 514 zb_scheduler.c:115	0x5587c8fdb5a0 calling cb 0x5587c8dbb5ef param 3 in_b 0 len 98
14:01:53.408 514 nwk_join.c:892	>>join_req 3
14:01:53.408 514 nwk_join.c:185	>>assoc_join buf 0x5587c8fdbcb0 req 0x5587c8fdbd3c
14:01:53.408 514 zb_address.c:170	>>zb_address_get_pan_id_ref pan_id 7.6.5.4.3.2.1.0 ref 0x7fffec5af19c
14:01:53.408 514 zb_address.c:173	start search pan_id reference from h_i 1
14:01:53.409 514 zb_address.c:180	pan_id reference found 0
14:01:53.409 514 zb_address.c:193	<<zb_address_get_pan_id_ref 0
14:01:53.409 514 nwk_join.c:82	>>nwk_choose_parent panid_ref 0 cap 80 nib_upd_id 0
14:01:53.409 514 nwk_join.c:116	ne 0x5587c8fdc870 panid_ref 0, potential_par 1, permit_join 1, cap r/e 1/1, lqi 100, upd_id 0, NIB_uid 0
14:01:53.409 514 nwk_join.c:142	parent found
